Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Note Attributes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Phone,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment ID,Payment Terms Name,Next Payment Due At,Payment References
#1133,jaxon@zonos.com,paid,2023-03-28 18:41:18 -0400,unfulfilled,,no,USD,100.00,257.13,0.00,357.13,"",0.00,Express Worldwide Duties & Taxes Included,2023-03-28 18:41:17 -0400,2,Case of Coca-Cola,50.00,,123412341234,true,true,pending,J Por,Rua Portas Agua 100,Rua Portas Agua 100,,,Ourém,2490-518,PT-14,PT,,J Por,Rua Portas Agua 100,Rua Portas Agua 100,,,Ourém,2490-518,PT-14,PT,,,"",,(for testing) Bogus Gateway,ran0iMiO7UGMg0Ga8LulUBrPz,0.00,Jaxons Soda shop,5299941671220,"",Low,web,0.00,,,,,,,,,,,,,,Santarém,Santarém,ran0iMiO7UGMg0Ga8LulUBrPz,,,ran0iMiO7UGMg0Ga8LulUBrPz
#1132,jaxon@zonos.com,paid,2023-03-28 17:17:12 -0400,unfulfilled,,no,USD,100.00,548.24,0.00,648.24,"",0.00,UPS Saver  Duties & Taxes Included,2023-03-28 17:17:11 -0400,2,Case of Coca-Cola,50.00,,123412341234,true,true,pending,Jaxermany Porterssss,Hochstraße 46,Hochstraße 46,,,Berlin,'13357,,DE,,Jaxermany Porterssss,Hochstraße 46,Hochstraße 46,,,Berlin,'13357,,DE,,No duty or tax due,"Duty: $0.00
Tax: $89.80
Carrier Fees: $14.93
Shipping: $443.51",,(for testing) Bogus Gateway,rgIpHbE9WvWcI2esTStU0Vd1z,0.00,Jaxons Soda shop,5299897336116,"",Low,web,0.00,,,,,,,,,,,,,,,,rgIpHbE9WvWcI2esTStU0Vd1z,,,rgIpHbE9WvWcI2esTStU0Vd1z
#1131,jaxon@zonos.com,paid,2023-03-28 14:24:55 -0400,unfulfilled,,no,USD,200.00,712.40,0.00,912.40,"",0.00,UPS Saver,2023-03-28 14:24:55 -0400,4,Case of Coca-Cola,50.00,,123412341234,true,true,pending,J P,Rua Portas Agua 100,Rua Portas Agua 100,,,Ourém,2490-518,PT-14,PT,,J P,Rua Portas Agua 100,Rua Portas Agua 100,,,Ourém,2490-518,PT-14,PT,,Estimated tax ($NaN) and  duty ($NaN) due upon delivery,"Duty: $76.17
Tax: $202.94
Carrier Fees: $126.66
Shipping: $712.40",,(for testing) Bogus Gateway,rEscgHbPHpYcaNyLdXTxAqm31,0.00,Jaxons Soda shop,5299787071796,"",Low,web,0.00,,,,,,,,,,,,,,Santarém,Santarém,rEscgHbPHpYcaNyLdXTxAqm31,,,rEscgHbPHpYcaNyLdXTxAqm31
#1130,jaxon@zonos.com,paid,2023-03-28 14:23:55 -0400,unfulfilled,,no,USD,100.00,616.12,0.00,716.12,"",0.00,UPS Expedited  Duties & Taxes Included,2023-03-28 14:23:55 -0400,2,Case of Coca-Cola,50.00,,123412341234,true,true,pending,J P,Rua Portas Agua 100,Rua Portas Agua 100,,,Ourém,2490-518,PT-14,PT,,J P,Rua Portas Agua 100,Rua Portas Agua 100,,,Ourém,2490-518,PT-14,PT,,No duty or tax due,"Duty: $0.00
Tax: $116.23
Carrier Fees: $18.74
Shipping: $481.15",,(for testing) Bogus Gateway,rXd0dd6qu2espA6wTpfjQnvXU,0.00,Jaxons Soda shop,5299786350900,"",Low,web,0.00,,,,,,,,,,,,,,Santarém,Santarém,rXd0dd6qu2espA6wTpfjQnvXU,,,rXd0dd6qu2espA6wTpfjQnvXU
#1129,jaxon@zonos.com,paid,2023-03-28 14:08:47 -0400,unfulfilled,,no,USD,20.00,848.79,0.00,868.79,"",0.00,UPS Saver  Duties & Taxes Included,2023-03-28 14:08:47 -0400,4,Can of Coca-Cola,5.00,,1234,true,true,pending,J Por,Rua Portas Agua 100,Rua Portas Agua 100,,,Ourém,2490-518,PT-14,PT,,J Por,Rua Portas Agua 100,Rua Portas Agua 100,,,Ourém,2490-518,PT-14,PT,,No duty or tax due,"Duty: $0.00
Tax: $141.08
Carrier Fees: $22.31
Shipping: $685.40",,(for testing) Bogus Gateway,rIh0LCR5QtvUYiY9x1F0hWFJn,0.00,Jaxons Soda shop,5299775570228,"",Low,web,0.00,,,,,,,,,,,,,,Santarém,Santarém,rIh0LCR5QtvUYiY9x1F0hWFJn,,,rIh0LCR5QtvUYiY9x1F0hWFJn
#1128,jaxon@zonos.com,paid,2023-03-28 14:06:02 -0400,unfulfilled,,no,USD,50.00,514.48,0.00,564.48,"",0.00,UPS Expedited  Duties & Taxes Included,2023-03-28 14:06:02 -0400,1,Case of Coca-Cola,50.00,,123412341234,true,true,pending,J P,Rua Portas Agua 100,Rua Portas Agua 100,,,Ourém,2490-518,PT-14,PT,,J P,Rua Portas Agua 100,Rua Portas Agua 100,,,Ourém,2490-518,PT-14,PT,,No duty or tax due,"Duty: $0.00
Tax: $91.55
Carrier Fees: $15.18
Shipping: $407.75",,(for testing) Bogus Gateway,rNfegvBsxGGHNKmD2zBgIDiER,0.00,Jaxons Soda shop,5299773440308,"",Low,web,0.00,,,,,,,,,,,,,,Santarém,Santarém,rNfegvBsxGGHNKmD2zBgIDiER,,,rNfegvBsxGGHNKmD2zBgIDiER
#1127,jaxon@zonos.com,paid,2023-03-28 14:03:51 -0400,unfulfilled,,no,USD,100.00,720.37,0.00,820.37,"",0.00,UPS Saver  Duties & Taxes Included,2023-03-28 14:03:51 -0400,2,Case of Coca-Cola,50.00,,123412341234,true,true,pending,J P,Rua Portas Agua 100,Rua Portas Agua 100,,,Ourém,2490-518,PT-14,PT,,J P,Rua Portas Agua 100,Rua Portas Agua 100,,,Ourém,2490-518,PT-14,PT,,,"",,(for testing) Bogus Gateway,rZbSOs83XZJhKt80ELtvGuqQ7,0.00,Jaxons Soda shop,5299771801908,"",Low,web,0.00,,,,,,,,,,,,,,Santarém,Santarém,rZbSOs83XZJhKt80ELtvGuqQ7,,,rZbSOs83XZJhKt80ELtvGuqQ7
#1126,jaxon@zonos.com,paid,2023-03-28 14:03:07 -0400,unfulfilled,,no,USD,50.00,600.49,0.00,650.49,"",0.00,UPS Saver  Duties & Taxes Included,2023-03-28 14:03:06 -0400,1,Case of Coca-Cola,50.00,,123412341234,true,true,pending,J P,Rua Portas Agua 100,Rua Portas Agua 100,,,Ourém,2490-518,PT-14,PT,,J P,Rua Portas Agua 100,Rua Portas Agua 100,,,Ourém,2490-518,PT-14,PT,,No duty or tax due,"Duty: $0.00
Tax: $105.55
Carrier Fees: $17.20
Shipping: $477.74",,(for testing) Bogus Gateway,re0dM5tIi1gYJYjnALSf4rZFo,0.00,Jaxons Soda shop,5299771179316,"",Low,web,0.00,,,,,,,,,,,,,,Santarém,Santarém,re0dM5tIi1gYJYjnALSf4rZFo,,,re0dM5tIi1gYJYjnALSf4rZFo
#1125,jaxon@zonos.com,paid,2023-03-28 14:00:36 -0400,unfulfilled,,no,USD,100.00,123.68,0.00,223.68,"",0.00,USPS First Class Duties & Taxes Included,2023-03-28 14:00:36 -0400,2,Case of Coca-Cola,50.00,,123412341234,true,true,pending,J P,Rua Portas Agua 100,Rua Portas Agua 100,,,Ourém,2490-518,PT-14,PT,,J P,Rua Portas Agua 100,Rua Portas Agua 100,,,Ourém,2490-518,PT-14,PT,,No duty or tax due,"Duty: $0.00
Tax: $37.28
Carrier Fees: $0.00
Shipping: $86.40",,(for testing) Bogus Gateway,rePw7gi3A1Ye38XlKUziywA0y,0.00,Jaxons Soda shop,5299769770292,"",Low,web,0.00,,,,,,,,,,,,,,Santarém,Santarém,rePw7gi3A1Ye38XlKUziywA0y,,,rePw7gi3A1Ye38XlKUziywA0y
#1124,jaxon@zonos.com,paid,2023-03-28 13:58:36 -0400,unfulfilled,,no,USD,150.00,124.42,0.00,274.42,"",0.00,USPS First Class,2023-03-28 13:58:36 -0400,3,Case of Coca-Cola,50.00,,123412341234,true,true,pending,Jax Porters,Rua Portas Agua 1001,Rua Portas Agua 1001,,,Ourém,2490-518,PT-14,PT,,Jax Porters,Rua Portas Agua 1001,Rua Portas Agua 1001,,,Ourém,2490-518,PT-14,PT,,,"",,(for testing) Bogus Gateway,rrvXJsFN46upBLTQ5ETszeuOf,0.00,Jaxons Soda shop,5299768361268,"",Low,web,0.00,,,,,,,,,,,,,,Santarém,Santarém,rrvXJsFN46upBLTQ5ETszeuOf,,,rrvXJsFN46upBLTQ5ETszeuOf
